,A,B
0,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, MILK",SALTY SNACKS
1,SALTY SNACKS,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, MILK"
2,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, SALTY SNACKS",MILK
3,MILK,"BEER/ALE/ALCOHOLIC CIDER, CARBONATED BEVERAGES, SALTY SNACKS"
4,"BEER/ALE/ALCOHOLIC CIDER, MILK, SALTY SNACKS",CARBONATED BEVERAGES
5,CARBONATED BEVERAGES,"BEER/ALE/ALCOHOLIC CIDER, MILK, SALTY SNACKS"
6,"CARBONATED BEVERAGES, MILK, SALTY SNACKS",BEER/ALE/ALCOHOLIC CIDER
7,BEER/ALE/ALCOHOLIC CIDER,"CARBONATED BEVERAGES, MILK, SALTY SNACKS"
